,album_name,track_title,track_n,lyric,line
167,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Why aren't you here tonight?,31
168,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"I'm waiting alone now, so come on and come out",32
169,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"And pull me near and shine, shine, shine",33
170,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I could give you fifty reasons",34
171,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Why I should be the one you choose,35
172,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"All those other girls, well, they're beautiful",36
173,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But would they write a song for you? (Ha-ha-ha),37
174,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I can't help it if you look like an angel,38
175,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,39
176,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,40
177,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,41
178,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",42
179,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,If you look like an angel,43
180,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,44
181,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,45
182,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,46
183,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",47
184,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Ah-uh, myself",48
185,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, I can't help myself",49
186,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I can't help myself,50
187,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Oh-oh-oh,51
188,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",52
189,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",53
190,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",54
191,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Say you're sorry, that face of an angel",1
192,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Comes out just when you need it to,2
193,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,As I paced back and forth all this time,3
194,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,'Cause I honestly believed in you,4
195,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Holdin' on, the days drag on",5
196,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Stupid girl, I shoulda known, I shoulda known",6
197,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"That I'm not a princess, this ain't a fairytale",7
198,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"I'm not the one you'll sweep off her feet, lead her up the stairwell",8
199,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This ain't Hollywood, this is a small town",9
200,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I was a dreamer before you went and let me down,10
201,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,11
202,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,To come around,12
203,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Maybe I was naïve, got lost in your eyes",13
204,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And never really had a chance,14
205,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"My mistake, I didn't know to bе in love",15
206,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,You had to fight to have the uppеr hand,16
207,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I had so many dreams about you and me,17
208,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Happy endings, now I know",18
209,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"That I'm not a princess, this ain't a fairytale",19
210,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"I'm not the one you'll sweep off her feet, lead her up the stairwell",20
211,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This ain't Hollywood, this is a small town",21
212,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I was a dreamer before you went and let me down,22
213,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,23
214,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,To come around,24
215,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And there you are on your knees,25
216,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Beggin' for forgiveness, beggin' for me",26
217,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Just like I always wanted,27
218,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,But I'm so sorry,28
219,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"'Cause I'm not your princess, this ain't our fairytale",29
220,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,I'm gonna find someone someday,30
221,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Who might actually treat me well,31
222,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"This is a big world, that was a small town",32
223,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,There in my rearview mirror disappearing now,33
224,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,And it's too late for you and your white horse,34
225,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,Now it's too late for you and your white horse,35
226,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,To catch me now,36
227,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Oh, whoa, whoa, whoa",37
228,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,"Try and catch me now, oh",38
229,Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,It's too late to catch me now,39
230,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"You're on the phone with your girlfriend, she's upset",1
231,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,She's going off about something that you said,2
232,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,'Cause she doesn't get your humor like I do,3
233,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"I'm in my room, it's a typical Tuesday night",4
234,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,I'm listening to the kind of music she doesn't like,5
235,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,And she'll never know your story like I do,6
236,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Cause she wears short skirts, I wear T-shirts",7
237,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,She's Cheer Captain and I'm on the bleachers,8
238,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Dreaming 'bout the day when you wake up and find,9
239,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,That what you're looking for has been here the whole time,10
240,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,If you could see that I'm the onе who understands you,11
