,album_name,track_title,track_n,lyric,line
304,Taylor Swift,Stay Beautiful,8,Ask anyone,43
305,Taylor Swift,Stay Beautiful,8,And when you find everything you looked for,44
306,Taylor Swift,Stay Beautiful,8,I hope your life leads you back to my front door,45
307,Taylor Swift,Stay Beautiful,8,"Oh, but if it don't",46
308,Taylor Swift,Stay Beautiful,8,Will you stay,47
309,Taylor Swift,Stay Beautiful,8,"Beautiful, beautiful, beautiful",48
310,Taylor Swift,Stay Beautiful,8,"Beautiful, beautiful, beautiful?",49
311,Taylor Swift,Stay Beautiful,8,La la la,50
312,Taylor Swift,Stay Beautiful,8,"Oh, oh, oh, oh",51
313,Taylor Swift,Stay Beautiful,8,"Oh, but if it don't",52
314,Taylor Swift,Stay Beautiful,8,Stay beautiful,53
315,Taylor Swift,Stay Beautiful,8,Stay beautiful,54
316,Taylor Swift,Stay Beautiful,8,"Na, na, na, na, na",55
317,Taylor Swift,Should've Said No,9,It's strange to think the songs we used to sing,1
318,Taylor Swift,Should've Said No,9,"The smiles, the flowers, everything is gone",2
319,Taylor Swift,Should've Said No,9,Yesterday I found out about you,3
320,Taylor Swift,Should've Said No,9,Even now just looking at you feels wrong,4
321,Taylor Swift,Should've Said No,9,"You say that you'd take it all back, given one chance",5
322,Taylor Swift,Should've Said No,9,"It was a moment of weakness and you said, ""Yes.""",6
323,Taylor Swift,Should've Said No,9,"You should've said ""No"", you should've gone home",7
324,Taylor Swift,Should've Said No,9,You should've thought twice 'fore you let it all go,8
325,Taylor Swift,Should've Said No,9,You should've known that word,9
326,Taylor Swift,Should've Said No,9,'Bout what you did with her'd,10
327,Taylor Swift,Should've Said No,9,Get back to me (get back to me).,11
328,Taylor Swift,Should've Said No,9,And I should've been there in the back of your mind,12
329,Taylor Swift,Should've Said No,9,"I shouldn't be asking myself, ""Why?""",13
330,Taylor Swift,Should've Said No,9,You shouldn't be begging for forgiveness at my feet...,14
331,Taylor Swift,Should've Said No,9,"You should've said ""No"", baby, and you might still have me",15
332,Taylor Swift,Should've Said No,9,You can see that I've been crying,16
333,Taylor Swift,Should've Said No,9,"And baby, you know all the right things to say",17
334,Taylor Swift,Should've Said No,9,But do you honestly expect me to believe,18
335,Taylor Swift,Should've Said No,9,We could ever be the same?,19
336,Taylor Swift,Should've Said No,9,"You say that the past is the past, you need one chance",20
337,Taylor Swift,Should've Said No,9,"It was a moment of weakness and you said, ""Yes.""",21
338,Taylor Swift,Should've Said No,9,"You should've said ""No"", you should've gone home",22
339,Taylor Swift,Should've Said No,9,You should've thought twice 'fore you let it all go,23
340,Taylor Swift,Should've Said No,9,You should've known that word,24
341,Taylor Swift,Should've Said No,9,"'Bout what you did with her'd,",25
342,Taylor Swift,Should've Said No,9,Get back to me (get back to me).,26
343,Taylor Swift,Should've Said No,9,And I should've been there in the back of your mind,27
344,Taylor Swift,Should've Said No,9,"I shouldn't be asking myself, ""Why?""",28
345,Taylor Swift,Should've Said No,9,You shouldn't be begging for forgiveness at my feet...,29
346,Taylor Swift,Should've Said No,9,"You should've said ""No"", baby, and you might still have me",30
347,Taylor Swift,Should've Said No,9,I can't resist,31
348,Taylor Swift,Should've Said No,9,"Before you go, tell me this:",32
349,Taylor Swift,Should've Said No,9,Was it worth it?,33
350,Taylor Swift,Should've Said No,9,Was she worth this?,34
351,Taylor Swift,Should've Said No,9,"No... no, no, no...",35
352,Taylor Swift,Should've Said No,9,"You should've said ""No"", you should've gone home",36
353,Taylor Swift,Should've Said No,9,You should've thought twice 'fore you let it all go,37
354,Taylor Swift,Should've Said No,9,You should've known that word,38
355,Taylor Swift,Should've Said No,9,"'Bout what you did with her'd,",39
356,Taylor Swift,Should've Said No,9,Get back to me (get back to me).,40
357,Taylor Swift,Should've Said No,9,And I should've been there in the back of your mind,41
358,Taylor Swift,Should've Said No,9,"I shouldn't be asking myself, ""Why?""",42
359,Taylor Swift,Should've Said No,9,You shouldn't be begging for forgiveness at my feet...,43
360,Taylor Swift,Should've Said No,9,"You should've said ""No"", baby, and you might still have me",44
361,Taylor Swift,Mary’s Song (Oh My My My),10,"She said, I was seven and you were nine",1
362,Taylor Swift,Mary’s Song (Oh My My My),10,I looked at you like the stars that shined,2
363,Taylor Swift,Mary’s Song (Oh My My My),10,"In the sky, the pretty lights",3
364,Taylor Swift,Mary’s Song (Oh My My My),10,And our daddies used to joke about the two of us,4
365,Taylor Swift,Mary’s Song (Oh My My My),10,Growing up and falling in love and our mamas smiled,5
366,Taylor Swift,Mary’s Song (Oh My My My),10,"And rolled their eyes and said, ""Oh my, my, my""",6
367,Taylor Swift,Mary’s Song (Oh My My My),10,Take me back to the house in the backyard tree,7
