album_name,track_title,track_n,lyric,line
Midnights (3am Edition),Midnight Rain,5,Pageant queens and big pretenders,9
Midnights (3am Edition),Midnight Rain,5,But for some, it was paradise,10
Midnights (3am Edition),Midnight Rain,5,My boy was a montage,11
Midnights (3am Edition),Midnight Rain,5,A slow-motion, love potion,12
Midnights (3am Edition),Midnight Rain,5,Jumping off things in the ocean,13
Midnights (3am Edition),Midnight Rain,5,I broke his heart 'cause he was nice,14
Midnights (3am Edition),Midnight Rain,5,He was sunshine, I was midnight rain,15
Midnights (3am Edition),Midnight Rain,5,He wanted it comfortable, I wanted that pain,16
Midnights (3am Edition),Midnight Rain,5,He wanted a bride, I was making my own name,17
Midnights (3am Edition),Midnight Rain,5,Chasing that fame, he stayed the same,18
Midnights (3am Edition),Midnight Rain,5,All of me changed like midnight,19
Midnights (3am Edition),Midnight Rain,5,It came like a postcard,20
Midnights (3am Edition),Midnight Rain,5,Picture perfect shiny family,21
Midnights (3am Edition),Midnight Rain,5,Holiday peppermint candy,22
Midnights (3am Edition),Midnight Rain,5,But for him, it's every day,23
Midnights (3am Edition),Midnight Rain,5,So I peered through a window,24
Midnights (3am Edition),Midnight Rain,5,A deep portal, time travel,25
Midnights (3am Edition),Midnight Rain,5,All the love we unravel,26
Midnights (3am Edition),Midnight Rain,5,And the life I gave away,27
Midnights (3am Edition),Midnight Rain,5,'Cause he was sunshine, I was midnight rain,28
Midnights (3am Edition),Midnight Rain,5,He wanted it comfortable, I wanted that pain,29
Midnights (3am Edition),Midnight Rain,5,He wanted a bride, I was making my own name,30
Midnights (3am Edition),Midnight Rain,5,Chasing that fame, he stayed the same,31
Midnights (3am Edition),Midnight Rain,5,All of me changed like midnight rain,32
Midnights (3am Edition),Midnight Rain,5,He wanted it comfortable, I wanted that pain,33
Midnights (3am Edition),Midnight Rain,5,He wanted a bride, I was making my own name,34
Midnights (3am Edition),Midnight Rain,5,Chasing that fame, he stayed the same,35
Midnights (3am Edition),Midnight Rain,5,All of me changed like midnight,36
Midnights (3am Edition),Midnight Rain,5,You might also like,37
Midnights (3am Edition),Midnight Rain,5,I guess sometimes we all get,38
Midnights (3am Edition),Midnight Rain,5,Just what we wanted, just what we wanted,39
Midnights (3am Edition),Midnight Rain,5,And he never thinks of me,40
Midnights (3am Edition),Midnight Rain,5,Except for when I'm on TV,41
Midnights (3am Edition),Midnight Rain,5,I guess sometimes we all get,42
Midnights (3am Edition),Midnight Rain,5,Some kind of haunted, some kind of haunted,43
Midnights (3am Edition),Midnight Rain,5,And I never think of him,44
Midnights (3am Edition),Midnight Rain,5,Except on midnights like this,45
Midnights (3am Edition),Question...?,6,TranslationsEspañolPortuguêsTürkçeFrançais中文СрпскиItalianoMagyarQuestion...? Lyrics,1
Midnights (3am Edition),Question...?,6,I remember,2
Midnights (3am Edition),Question...?,6,Good girl, sad boy,3
Midnights (3am Edition),Question...?,6,Big city, wrong choices,4
Midnights (3am Edition),Question...?,6,We had one thing goin' on,5
Midnights (3am Edition),Question...?,6,I swear that it was somethin',6
Midnights (3am Edition),Question...?,6,'Cause I don't remember who I was,7
Midnights (3am Edition),Question...?,6,Before you painted all my nights,8
Midnights (3am Edition),Question...?,6,A color I've searched for since,9
Midnights (3am Edition),Question...?,6,But one thing after another,10
Midnights (3am Edition),Question...?,6,Fuckin' situations, circumstances,11
